,제목,스크린샷,별점,예매율
0,테넷,https://movie-phinf.pstatic.net/20200728_86/15959209130236RePy_JPEG/movie_image.jpg,['8.27'],['42.38']
1,뮬란,https://movie-phinf.pstatic.net/20200827_174/1598496595000hDi9H_JPEG/movie_image.jpg,['4.48'],['31.91']
2,오! 문희,https://movie-phinf.pstatic.net/20200805_234/1596591608915HqeqM_JPEG/movie_image.jpg,['8.09'],['6.81']
3,기기괴괴 성형수,https://movie-phinf.pstatic.net/20200901_11/1598922866258hETJp_JPEG/movie_image.jpg,['6.92'],['5.62']
4,다만 악에서 구하소서,https://movie-phinf.pstatic.net/20200706_191/1594001490577tifkl_JPEG/movie_image.jpg,['7.68'],['1.69']
5,테스와 보낸 여름,https://movie-phinf.pstatic.net/20200814_33/1597368744647OfBOS_JPEG/movie_image.jpg,['9.30'],['1.47']
6,뉴 뮤턴트,https://movie-phinf.pstatic.net/20200910_94/1599703996013taV6z_JPEG/movie_image.jpg,['6.63'],['1.31']
7,극장판 짱구는 못말려 신혼여행 허리케인~ 사라진 아빠!,https://movie-phinf.pstatic.net/20200806_196/1596705003939WIMwG_JPEG/movie_image.jpg,['8.92'],['1.11']
8,매지컬 공주를 웃겨라,https://movie-phinf.pstatic.net/20200902_264/1599023779693070wc_JPEG/movie_image.jpg,['7.25'],['1.05']
9,도망친 여자,https://movie-phinf.pstatic.net/20200728_203/1595913814604s1znL_JPEG/movie_image.jpg,['7.68'],['1.03']
10,지니어스 독,https://movie-phinf.pstatic.net/20200827_168/1598501717302lk8I4_JPEG/movie_image.jpg,['8.24'],['0.92']
11,더 렌탈 소리없는 감시자,https://movie-phinf.pstatic.net/20200729_206/1596003966519nLjxA_JPEG/movie_image.jpg,['5.35'],['0.87']
12,비독 파리의 황제,https://movie-phinf.pstatic.net/20200827_220/15985066611215US1B_JPEG/movie_image.jpg,['7.55'],['0.72']
13,에이바,https://movie-phinf.pstatic.net/20200904_274/15991979769836Rx4f_JPEG/movie_image.jpg,['4.77'],['0.41']
14,남매의 여름밤,https://movie-phinf.pstatic.net/20200721_100/1595307510654a6eNC_JPEG/movie_image.jpg,['9.06'],['0.4']
15,공포분자,https://movie-phinf.pstatic.net/20200728_227/1595916020037z3gR6_JPEG/movie_image.jpg,['8.80'],['0.27']
16,카일라스 가는 길,https://movie-phinf.pstatic.net/20200819_123/1597800319922Cfq3M_JPEG/movie_image.jpg,['9.67'],['0.26']
17,드라이브,https://movie-phinf.pstatic.net/20200909_204/1599617656986wzIGp_JPEG/movie_image.jpg,['8.05'],['0.24']
18,어트랙션,https://movie-phinf.pstatic.net/20200908_113/1599542183885Ek9A2_JPEG/movie_image.jpg,['8.58'],['0.23']
19,나를 구하지 마세요,https://movie-phinf.pstatic.net/20200828_264/1598606865588n9WXo_JPEG/movie_image.jpg,['9.56'],['0.17']
20,69세,https://movie-phinf.pstatic.net/20200804_267/1596505576712zw2dt_JPEG/movie_image.jpg,['8.63'],['0.14']
21,오케이 마담,https://movie-phinf.pstatic.net/20200812_245/159719521887011fjF_JPEG/movie_image.jpg,['6.47'],['0.08']
22,동아시아반일무장전선,https://movie-phinf.pstatic.net/20200727_181/1595825046794nQhvY_JPEG/movie_image.jpg,['6.94'],['0.06']
23,하워즈 엔드,https://movie-phinf.pstatic.net/20200824_269/1598249450570ujD8F_JPEG/movie_image.jpg,['7.12'],['0.06']
24,후쿠오카,https://movie-phinf.pstatic.net/20200805_260/1596603002193WdUdN_JPEG/movie_image.jpg,['6.81'],['0.05']
25,소년시절의 너,https://movie-phinf.pstatic.net/20200710_218/15943587674860cQNT_JPEG/movie_image.jpg,['9.37'],['0.04']
26,라붐,https://movie-phinf.pstatic.net/20200506_44/1588745673298syS7i_JPEG/movie_image.jpg,['7.96'],['0.04']
27,아무도 없다,https://movie-phinf.pstatic.net/20200901_2/1598926651745WdcSn_JPEG/movie_image.jpg,['6.28'],['0.02']
